"Dede Tere Dil Me Room ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311214,01JFCT9J2FES9FQ6VVYD6QR7X3.jpg,01JFCT9K2QKBRGM15HXQJ1K1DR.mp3
"Lehenga Me Tota Madba Layi ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311215,01JFCTF0SK1BP195YG2QQVH983.jpg,01JFCTF0X7C92FH3HYCDEYAAD8.mp3
"Banay Le Chori Tu Tero Bhartar ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311216,01JFCTXTHWGZ075SQCFA83M7E6.jpg,01JFCTXTPQKK5X2HYBNE737QB5.mp3
"Mere Dil Me Bhayela Tere Love Ki Kitab ","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311217,01JFCV1XBR85FHN48Y5C2SSDCR.jpg,01JFCV1XBT11KD0P31TKSYN4HY.mp3
"Nachungi Raja Dj Pe Thodo So Besh Bada De","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,romantic,Yes,Yes,Yes,Yes,No,INF512311218,01JFCV6BJT4NG0PVQDK6RTTDPX.jpg,01JFCV6BXQD3Q9M3TXT9S2G6PE.mp3
"Hirani Si Chal Teri Patali Kamar","Singer Vishnu Tiger ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",singer.vishnu.tiger,2024-12-18,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,No,INF512311219,01JFCVA61D6FDQNHSX9HF23RQB.jpg,01JFCVA65Z8K185XNX3TXSCSYD.mp3
"Tharo So Stole Chhori Mhar Heto","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Ladli Ka Bas",ashokladlikabas,2024-12-18,rajasthani,pop,world,romantic,Yes,Yes,Yes,No,No,INF512311220,01JFD8VRWJ4P8F58TPH8ANSQE6.jpg,01JFD8VRX1XQ93GP41ZNMR2H2Q.mp3
"O Darsan Dijyo Bala Dev Ji","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Ladli Ka Bas",ashokladlikabas,2024-12-18,rajasthani,pop,world,romantic,Yes,Yes,Yes,No,No,INF512311221,01JFD92EJBNZFEPQWZSMVM2RGH.jpg,01JFD92EQZA497M74VPPD6KYYY.mp3
"Darsan De Re De","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Ladli Ka Bas",ashokladlikabas,2024-12-18,rajasthani,pop,world,romantic,Yes,Yes,Yes,No,No,INF512311222,01JFD971R9SDJ258PAXBQSN9DW.jpg,01JFD971RDAXKYVVPKRN4R378N.mp3
"Padba Ko Kar Naam","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Jhajhwad","Ashok Ladli Ka Bas",ashokladlikabas,2024-12-18,rajasthani,pop,world,romantic,Yes,Yes,Yes,No,No,INF512311223,01JFD9CCA7HF0CRR8YKYSHMT7Z.jpg,01JFD9CCADX5FDG1QYAS3HHDGZ.mp3
"Gurjar Gurjar hove Gurjar ","Singer hemsing gurjar ","Vishnu dilwale","Rahul marshal","Rahul marshal","[Marshal Music Company] Karishma Music HD",https://www.instagram.com/___singer_hemsinga?igsh=ZGUzMzM3NWJiOQ==,2024-12-18,rajasthani,pop,pop_rock,happy,Yes,Yes,Yes,No,No,INF512311224,01JFDFKMDCYNTFE3NBHZWQ3GBS.jpg,01JFDFKMDDJDEYM0XK5NH5T5KK.wav
"Nishad Ka kaafila ( gangster song ) ","Singer Suraj Nishad ","Narendra Nishad","Narendra Nishad","Suraj nishad","Singer Suraj Nishad",https://www.instagram.com/itz_suraj_service_centre_08/profilecard/?igsh=MWNubXp1ZzlsamdlZA==,2024-12-19,hindi,indian,classical,relaxed,Yes,Yes,Yes,No,"(Nishad song : Nishad ka kaafila)",INF512311225,01JFEBZ82M6Q76CYR2KKPQEMRQ.jpg,01JFEBZ8587AD1D1QEBCGCJS6T.mp3
"Tero Lagti Aay Gayo Biyau Ke Chhapi Rahe Saadi Ke Pracha","Singer Suraj Nishad ","Narendra Nishad","Narendra Nishad","Suraj Nishad","Singer Suraj Nishad",https://www.instagram.com/itz_suraj_service_centre_08/profilecard/?igsh=MWNubXp1ZzlsamdlZA==,2024-12-19,hindi,bollywood,classical,sad,Yes,Yes,Yes,Yes,No,INF512311202,01JFF0XP7S6MSE2HNGA7G2STZN.jpg,01JFF0XPC7W5W32Y9ZJGHWJZ1R.mp3
"Bekhob Jatav","Vikas Foji Chhayansa, Gaurav Jarcha, Kajal Gautam, Reet Muradpur Wala","Reet Muradpur wala","Geet Empire","Gaurav Jeetgadhiwala","KS Music Studio",https://www.instagram.com/vikasfojichhayansa?igsh=MzRlODBiNWFlZA==,2024-12-19,hindi,classical,haryanvi,happy,Yes,Yes,Yes,Yes,"(Aaya jatav : 00:10), (Badmash hua koi Don : 00:26), (Jatav haa jatav dal jiyenge : 00:34), (Kyo gam gam : 00:52), (Teri Baddi fielding : 01:11), (Savidhan  chle baba : 01:57), (Gaurav Jarcha : 02:23), (Vikas foji : 02:33)",INF512311231,01JFF52EDSVARAV8WN4NVZ5JAM.jpg,01JFF52EDTY4RVFJ2RFC4V9QZE.wav
